nbm_code,nbm_name
0201.30.0600,"COXAO DURO,DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO"
0201.30.0700,"COXAO MOLE,DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO"
0201.30.0800,"FILE MIGNON,DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO"
0201.30.0900,"LAGARTO DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO"
0201.30.1000,"PATINHO DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO"
0201.30.9900,"OUTS.CARNES DE BOVINO,DESOSSADAS,FRESCAS OU REFRIGERAD."
0202.10.0000,"CARCACA/MEIA-CARCACA,DE BOVINO,NAO DESOSSADA,CONGELADA"
0202.20.0100,"QUARTO DE DIANTEIRO,DE BOVINO,NAO DESOSSADO,CONGELADO"
0202.20.0200,"QUARTO DE TRASEIRO,DE BOVINO,NAO DESOSSADO,CONGELADO"
0202.20.0300,"COSTELA DE BOVINO,NAO DESOSSADA,CONGELADA"
0202.20.0400,"BISTECA DE BOVINO,NAO DESOSSADA,CONGELADA"
0202.20.0500,"TIBONE DE BOVINO,NAO DESOSSADO,CONGELADO"
0202.20.9900,"OUTRAS CARNES DE BOVINO,NAO DESOSSADAS,CONGELADAS"
0202.30.0100,"CARCACA E MEIA-CARCACA,DE BOVINO,DESOSSADA,CONGELADA"
0202.30.0200,"QUARTO DE DIANTEIRO,DE BOVINO,DESOSSADO,CONGELADO"
0202.30.0300,"QUARTO DE TRASEIRO,DE BOVINO,DESOSSADO,CONGELADO"
0202.30.0401,"CORACAO DE ALCATRA,DE BOVINO,DESOSSADO,CONGELADO"
0202.30.0402,"PICANHA DE ALCATRA,DE BOVINO,DESOSSADA,CONGELADA"
0202.30.0403,"MAMINHA DE ALCATRA,DE BOVINO,DESOSSADA,CONGELADA"
0202.30.0499,"QUALQUER OUTRA ALCATRA,DE BOVINO,DESOSSADA,CONGELADA"
0202.30.0500,"CONTRAFILE DE BOVINO,DESOSSADO,CONGELADO"
0202.30.0600,"COXAO DURO,DE BOVINO,DESOSSADO,CONGELADO"
0202.30.0700,"COXAO MOLE,DE BOVINO,DESOSSADO,CONGELADO"
0202.30.0800,"FILE MIGNON,DE BOVINO,DESOSSADO,CONGELADO"
0202.30.0900,"LAGARTO DE BOVINO,DESOSSADO,CONGELADO"
0202.30.1000,"PATINHO DE BOVINO,DESOSSADO,CONGELADO"
0202.30.9900,"OUTS.CARNES DE BOVINO,DESOSSADAS,CONGELADAS"
0203.11.0000,"CARCACA E MEIA-CARCACA,DE SUINO,FRESCA OU REFRIGERADA"
0203.12.0000,"PERNAS E PAS,DE SUINO,NAO DESOSSADAS,FRESCAS OU REFRIG."
0203.19.0100,"TOUCINHO ENTREMEADO,FRESCO OU REFRIGERADO"
0203.19.9900,"OUTRAS CARNES DE SUINO,FRESCAS OU REFRIGERADAS"
0203.21.0000,"CARCACA E MEIA-CARCACA,DE SUINO,CONGELADA"
0203.22.0000,"PERNAS E PAS,DE SUINO,NAO DESOSSADAS,CONGELADAS"
0203.29.0000,"OUTRAS CARNES DE SUINO,CONGELADAS"
0204.10.0000,"CARCACA E MEIA-CARCACA,DE CORDEIRO,FRESCA,REFRIGERADA"
0204.21.0000,"CARCACA E MEIA-CARCACA,DE OVINO,FRESCA OU REFRIGERADA"
0204.22.0000,"OUTS.CARNES DE OVINO,NAO DESOSSADAS,FRESCAS OU REFRIGER"
0204.23.0000,"CARNES DE OVINO,DESOSSADAS,FRESCAS OU REFRIGERADAS"
0204.30.0000,"CARCACA E MEIA-CARCACA,DE CORDEIRO,CONGELADA"
0204.41.0000,"CARCACA E MEIA-CARCACA,DE OVINO,CONGELADA"
0204.42.0000,"OUTS.CARNES DE OVINO,NAO DESOSSADAS,CONGELADAS"
0204.43.0000,"CARNES DE OVINO,DESOSSADAS,CONGELADAS"
0204.50.0100,"CARNES DE CAPRINO,FRESCAS OU REFRIGERADAS"
0204.50.0200,"CARNES DE CAPRINO,CONGELADAS"
0205.00.0101,"CARNES DE CAVALO,FRESCAS OU REFRIGERADAS"
0205.00.0102,"CARNES DE CAVALO,CONGELADAS"
0205.00.0200,"CARNES DE ASININO,FRESCAS,REFRIGERADAS OU CONGELADAS"
0205.00.0300,"CARNES DE MUAR,FRESCAS,REFRIGERADAS OU CONGELADAS"
0206.10.0100,"CARNES DE CABECA DE BOVINO,FRESCAS OU REFRIGERADAS"
0206.10.0200,"CORACAO DE BOVINO,FRESCO OU REFRIGERADO"
0206.10.0300,"FIGADO DE BOVINO,FRESCO OU REFRIGERADO"
0206.10.0400,"LINGUA DE BOVINO,FRESCA OU REFRIGERADA"
0206.10.0500,"RABO DE BOVINO,FRESCO OU REFRIGERADO"
0206.10.0600,"RIM DE BOVINO,FRESCO OU REFRIGERADO"
0206.10.9900,"OUTS.MIUDOS COMESTIVEIS,DE BOVINO,FRESCOS,REFRIGERADOS"
0206.21.0000,"LINGUAS DE BOVINO,CONGELADAS"
0206.22.0000,"FIGADOS DE BOVINO,CONGELADOS"
0206.29.0100,"CARNES DE CABECA DE BOVINO,CONGELADAS"
0206.29.0200,"CORACAO DE BOVINO,CONGELADO"
0206.29.0300,"RABO DE BOVINO,CONGELADO"
0206.29.0400,"RIM DE BOVINO,CONGELADO"
0206.29.9900,"OUTS.MIUDOS COMESTIVEIS DE BOVINO,CONGELADOS"
0206.30.0000,"MIUDOS COMESTIVEIS DE SUINO,FRESCOS OU REFRIGERADOS"
0206.41.0000,"FIGADOS DE SUINO,CONGELADOS"
0206.49.0000,"OUTS.MIUDOS COMESTIVEIS,DE SUINO,CONGELADOS"
0206.80.0000,"MIUDOS COMESTIVEIS,DE OVINO,CAPRINO,ETC.FRESCOS,REFRIG."
0206.90.0000,"MIUDOS COMESTIVEIS,DE OVINO,CAPRINO,ETC.CONGELADOS"
0207.10.0100,"CARNES DE GALOS,FRANGOS,GALINHAS,INTEIRAS,FRESCA,REFRIG"
0207.10.9900,"CARNES DE OUTS.AVES DOMESTICAS,INTEIRAS,FRESCAS,REFRIG."
0207.21.0000,"CARNES DE GALOS,FRANGOS OU GALINHAS,INTEIRAS,CONGELADAS"
0207.22.0000,"CARNES DE PERUS OU PERUAS,INTEIRAS,CONGELADAS"
0207.23.0000,"CARNES DE PATOS,GANSOS OU PINTADAS,INTEIRAS,CONGELADAS"
0207.31.0000,"FIGADOS DE GANSOS OU PATOS,FRESCOS OU REFRIGERADOS"
0207.39.0100,"CARNES DE GALOS,FRANGOS,ETC.EM PEDACOS,FRESCAS,REFRIGER"
0207.39.0200,"FIGADOS DE GALOS,FRANGOS,GALINHAS,FRESCOS,REFRIGERADOS"
0207.39.9900,"CARNES DE OUTS.AVES DOMEST.EM PEDACOS,FRESCAS,REFRIGER."
0207.41.0100,"CARNES DE GALOS,FRANGOS,GALINHAS,EM PEDACOS,CONGELADAS"
0207.41.0200,"MIUDOS COMESTIVEIS,DE GALOS,FRANGOS,GALINHAS,CONGELADOS"
0207.42.0000,"CARNES DE PERUS,PERUAS,EM PEDACOS,E MIUDOS,CONGELADOS"
0207.43.0000,"CARNES DE PATOS,GANSOS,EM PEDACOS,E MIUDOS,CONGELADOS"
0207.50.0100,"FIGADOS DE GALOS,FRANGOS OU GALINHAS,CONGELADOS"
0207.50.9900,"FIGADOS DE OUTS.AVES DOMESTICAS,CONGELADOS"
0208.10.0000,"CARNES DE COELHOS OU LEBRES,FRESCAS,REFRIGERADAS,CONGEL"
0208.20.0000,"COXAS DE RA,FRESCAS,REFRIGERADAS OU CONGELADAS"
0208.90.0000,"OUTS.CARNES,MIUDOS COMESTIVEIS,FRESCOS,REFRIGERADOS,ETC"
0209.00.0101,"TOUCINHO SEM PARTES MAGRAS,FRESCO,REFRIGERADO,CONGELADO"
0209.00.0102,"TOUCINHO SEM PARTES MAGRAS,SALGADO OU EM SALMOURA"
0209.00.0199,"QQ.OUT.TOUCINHO,SEM PARTES MAGRAS"
0209.00.0201,"GORDURA DE PORCO,N/FUNDIDA,FRESCA,REFRIGERADA,CONGELADA"
0209.00.0202,"GORDURA DE PORCO,NAO FUNDIDA,SALGADA OU EM SALMOURA"
0209.00.0299,"QQ.OUT.GORDURA DE PORCO,NAO FUNDIDA"
0209.00.0301,"GORDURA DE AVES,N/FUNDIDA,FRESCA,REFRIGERADA,CONGELADA"
0209.00.0399,"QQ.OUT.GORDURA DE AVES,NAO FUNDIDA"
0210.11.0100,"PRESUNTOS DE SUINO,COM OSSOS,SALGADOS,EM SALMOURA,ETC."
0210.11.9900,"OUTS.PERNAS,PAS,PEDACOS,DE SUINO,COM OSSOS,SALGADOS,ETC"
0210.12.0101,"TOUCINHO COM PARTES MAGRAS,DEFUMADO"
0210.12.0199,"QQ.OUT.TOUCINHO,COM PARTES MAGRAS"
0210.12.9900,"OUTS.BARRIGAS,PEITOS,DE SUINO,SEM OSSOS,SALGADOS,ETC."
0210.19.0000,"OUTS.CARNES DE SUINO,E MIUDOS COMESTIVEIS,SALGADOS,ETC."
0210.20.0100,"CHARQUE (CARNE SECA) E CARNE DE SOL,DE BOVINO"
0210.20.9900,"OUTS.CARNES DE BOVINO,E MIUDOS COMESTIVEIS,SALGADOS,ETC"
0210.90.0100,"FIGADOS DE AVES DOMESTICAS,SALGADOS OU EM SALMOURA"
0210.90.0201,"LINGUAS DE ANIMAIS,SALGADAS,EM SALMOURA,ETC."
0210.90.0299,"QQ.OUT.MIUDO COMESTIVEL,DE ANIMAL,SALGADO,EM SALMOURA,"
0210.90.0300,"PRESUNTOS DE GALOS,GALINHAS,PATOS,ETC.SALGADOS,SALMOURA"
0210.90.9900,"OUTS.CARNES DE ANIMAIS,SALGADAS,EM SALMOURA,SECAS,ETC."
0301.10.0000,PEIXES VIVOS ORNAMENTAIS
0301.91.0100,TRUTAS PARA REPRODUCAO OU CRIACAO
0301.91.9900,OUTS.TRUTAS VIVAS
0301.92.0100,ENGUIAS PARA REPRODUCAO OU CRIACAO
0301.92.9900,OUTS.ENGUIAS VIVAS
0301.93.0100,CARPAS PARA REPRODUCAO OU CRIACAO
0301.93.9900,OUTS.CARPAS VIVAS
0301.99.0100,OUTS.PEIXES PARA REPRODUCAO OU CRIACAO
0301.99.9900,OUTS.PEIXES VIVOS
0302.11.0000,"TRUTAS FRESCAS OU REFRIGER.EXC.FILES,OUTS.CARNES,ETC."
0302.12.0000,"SALMOES-DO-PACIFICO,ETC.FRESCOS,REFRIGER.EXC.FILES,ETC."
0302.19.0000,"OUTS.SALMONIDEOS FRESCOS OU REFRIGERADOS,EXC.FILES,ETC."
0302.21.0000,"LINGUADOS-GIGANTES FRESCOS,REFRIGERADOS,EXC.FILES,ETC."
0302.22.0000,"SOLHAS OU PATRUCAS,FRESCAS,REFRIGERADAS,EXC.FILES,ETC."
0302.23.0000,"LINGUADOS FRESCOS OU REFRIGER.EXC.FILES,OUTS.CARNES,ETC"
0302.29.0000,"OUTS.PEIXES CHATOS,FRESCOS OU REFRIGER.EXC.FILES,ETC."
0302.31.0000,"ATUNS-BRANCOS FRESCOS OU REFRIGERADOS,EXC.FILES,ETC."
0302.32.0000,"ALBACORAS FRESCAS OU REFRIGERADAS,EXC.FILES,OUTS.CARNES"
0302.33.0000,"BONITOS-LISTRADOS FRESCOS OU REFRIGERADOS,EXC.FILES,ETC"
0302.39.0000,"OUTS.ATUNS,BONITOS,FRESCOS,REFRIGERADOS,EXC.FILES,ETC."
0302.40.0000,"ARENQUES FRESCOS OU REFRIGERADOS,EXC.FILES,OUTS.CARNES"
0302.50.0000,"BACALHAUS FRESCOS OU REFRIGERADOS,EXC.FILES,OUTS.CARNES"
0302.61.0000,"SARDINHA FRESCA OU REFRIGER.EXC.FILES,OUTS.CARNES,ETC."
0302.62.0000,"""HADDOCKS"" FRESCOS,REFRIGERADOS,EXC.FILES E OUTS.CARNES"
0302.63.0000,"PEIXES-CARVAO FRESCOS,REFRIGER.EXC.FILES E OUTS.CARNES"
0302.64.0000,"CAVALAS,ETC.FRESCAS,REFRIG.EXC.FILES E OUTS.CARNES"
0302.65.0000,"ESQUALOS FRESCOS,REFRIGERADOS,EXC.FILES,OUTS.CARNES"
0302.66.0000,"ENGUIAS FRESCAS,REFRIGERADAS,EXC.FILES E OUTS.CARNES"
0302.69.0100,"CORVINA FRESCA,REFRIGERADA,EXC.FILES E OUTS.CARNES"
0302.69.0200,"MERLUZA FRESCA,REFRIGERADA,EXC.FILES E OUTS.CARNES"
0302.69.0300,"PESCADA FRESCA OU REFRIGERADA,EXC.FILES E OUTS.CARNES"
0302.69.9900,"OUTS.PEIXES FRESCOS,REFRIG.EXC.FILES E OUTS.CARNES"
0302.70.0000,"FIGADOS,SEMEN E OVAS,DE PEIXES,FRESCOS OU REFRIGERADOS"
0303.10.0000,"SALMOES-DO-PACIFICO CONGELADOS,EXC.FILES E OUTS.CARNES"
0303.21.0000,"TRUTAS CONGELADAS,EXC.FILES E OUTS.CARNES"
0303.22.0000,"SALMOES-DO-ATLANTICO,ETC.CONGELADOS,EXC.FILES,ETC."
0303.29.0000,"OUTS.SALMONIDEOS CONGELADOS,EXC.FILES E OUTS.CARNES"
0303.31.0000,"LINGUADOS-GIGANTES CONGELADOS,EXC.FILE/FIGADO/OVAS/ETC."
0303.32.0000,"SOLHAS/PATRUCAS,CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.33.0000,"LINGUADOS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.39.0000,"OUTS.PEIXES CHATOS,CONGELADOS,EXC.FILE/FIGADO/OVAS/ETC."
0303.41.0000,"ATUNS-BRANCOS/ETC.CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.42.0000,"ALBACORAS/ETC.CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.43.0000,"BONITOS-LISTRADOS/ETC.CONGELADOS,EXC.FILE/FIGADO/OVAS/"
0303.49.0000,"OUTS.ATUNS/BONITOS,CONGELADOS,EXC.FILE/FIGADO/OVAS/ETC."
0303.50.0000,"ARENQUES CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.60.0000,"BACALHAUS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.71.0000,"SARDINHA/ETC.CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.72.0000,"HADDOCKS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.73.0000,"PEIXES-CARVAO CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.74.0000,"CAVALAS/ETC.CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.75.0000,"ESQUALOS CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.76.0000,"ENGUIAS CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.77.0000,"PERCAS (ROBALOS/BAILAS) CONGELADAS,EXC.FILE/FIGADO/ETC."
0303.78.0000,"MERLUZAS/ETC.CONGELADAS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.79.0100,"CASTANHA (PEIXE) CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.79.0200,"CORVINA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.79.0300,"PARGO-ROSA CONGELADO,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.79.0400,"PESCADA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.79.0500,"PIRAMUTABA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.79.0600,"TAMUATA CONGELADA,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.79.9900,"OUTS.PEIXES CONGELADOS,EXC.FILE/FIGADO/OVAS/SEMEN"
0303.80.0000,"FIGADOS/SEMEN/OVAS,DE PEIXES,CONGELADOS"
0304.10.0000,"FILES/OUTS.CARNES DE PEIXES,FRESCOS/REFRIGERADOS"
0304.20.0100,"FILES DE CORVINA,CONGELADOS"
0304.20.0200,"FILES DE DOURADO,CONGELADOS"
0304.20.0300,"FILES DE MERLUZA,CONGELADOS"
0304.20.0400,"FILES DE PARGO-ROSA,CONGELADOS"
0304.20.0500,"FILES DE PESCADA,CONGELADOS"
0304.20.0600,"FILES DE PIRAMUTABA,CONGELADOS"
0304.20.9900,"OUTS.FILES DE PEIXES,CONGELADOS"
0304.90.0100,"OUTS.CARNES DE CORVINA,FRESCAS/REFRIGERADAS/CONGELADAS"
0304.90.0200,"OUTS.CARNES DE DOURADO,FRESCAS/REFRIGERADAS/CONGELADAS"
0304.90.0300,"OUTS.CARNES DE MERLUZA,FRESCAS/REFRIGERADAS/CONGELADAS"
0304.90.0400,"OUTS.CARNES DE PARGO-ROSA,FRESCAS/REFRIG/CONGELADAS"
0304.90.0500,"OUTS.CARNES DE PESCADA,FRESCAS/REFRIGERADAS/CONGELADAS"
0304.90.0600,"OUTS.CARNES DE PIRAMUTABA,FRESCAS/REFRIG/CONGELADAS"
0304.90.9900,"OUTS.CARNES DE PEIXES,FRESCAS/REFRIGERADAS/CONGELADAS"
0305.10.0000,"FARINHAS/POS/ETC.DE PEIXES,P/ALIMENTACAO HUMANA"
0305.20.0100,"OVAS DE PEIXES,SECAS/DEFUMADAS/SALGADAS/EM SALMOURA"
0305.20.9900,"FIGADOS/SEMEN,DE PEIXES,SECOS/DEFUMADOS/SALGADOS/ETC."
0305.30.0100,"FILES DE BACALHAUS,SECOS/SALGADOS/SALMOURA,N/DEFUMADOS"
0305.30.9900,"OUTS.FILES DE PEIXES,SECOS/SALGADOS/SALMOURA,N/DEFUMADO"
0305.41.0000,"SALMOES-DO-PACIFICO/ETC.DEFUMADOS,MESMO EM FILES"
0305.42.0000,"ARENQUES DEFUMADOS,MESMO EM FILES"
0305.49.0100,"BACALHAUS DEFUMADOS,MESMO EM FILES"
0305.49.9900,"OUTS.PEIXES DEFUMADOS,MESMO EM FILES"
0305.51.0000,"BACALHAUS SECOS,MESMO SALGADOS,NAO DEFUMADOS"
0305.59.0100,"ANCHOVA SECA,MESMO SALGADA,NAO DEFUMADA"
0305.59.0200,"MERLUZA SECA,MESMO SALGADA,NAO DEFUMADA"
0305.59.0300,"SARDINHA SECA,MESMO SALGADA,NAO DEFUMADA"
0305.59.0400,"CACAO SECO,MESMO SALGADO,NAO DEFUMADO"
0305.59.0500,"PEIXES EM POSTAS,SECOS,MESMO SALGADOS,NAO DEFUMADOS"
0305.59.9901,"BARBATANAS DE TUBARAO,SECAS,MESMO SALGADAS,N/DEFUMADAS"
0305.59.9999,"QQ.OUT.PEIXE SECO,MESMO SALGADO,MAS N/DEFUMADO"
0305.61.0000,"ARENQUES SALGADOS,N/SECOS,N/DEFUMADOS,E EM SALMOURA"
0305.62.0100,"BACALHAUS EM POSTAS,SALGADAS,N/SECOS,N/DEFUM.E SALMOURA"
0305.62.9900,"OUTS.BACALHAUS SALGADOS,N/SECOS,N/DEFUMADOS,E SALMOURA"
0305.63.0000,"ANCHOVAS SALGADAS,N/SECAS,N/DEFUMADAS,E EM SALMOURA"
0305.69.0100,"MERLUZA SALGADA,N/SECA,N/DEFUMADA,E EM SALMOURA"
0305.69.0200,"SARDINHA SALGADA,N/SECA,N/DEFUMADA,E EM SALMOURA"
0305.69.0301,"CAUDAS DE CACAO,SALGADAS,N/SECAS,N/DEFUM.E EM SALMOURA"
0305.69.0399,"QQ.OUT.CACAO,SALGADO,N/SECO,N/DEFUMADO,E EM SALMOURA"
0305.69.0401,"BARBATANAS DE TUBARAO,SALGADAS,N/SECAS,N/DEFUM.SALMOURA"
0305.69.0499,"QQ.OUT.TUBARAO SALGADO,N/SECO,N/DEFUMADO,E EM SALMOURA"
0305.69.9900,"OUTS.PEIXES SALGADOS,N/SECOS,N/DEFUM.PEIXES EM SALMOURA"
0306.11.0000,"LAGOSTAS (PALINURUS/PANULIRUS/JASUS SPP),CONGELADAS"
0306.12.0000,"LAVAGANTES (""HOMARDS"")(HOMARUS SPP),CONGELADOS"
0306.13.0000,CAMAROES CONGELADOS
0306.14.0000,CARANGUEJOS CONGELADOS
0306.19.0000,"OUTS.CRUSTACEOS CONGELADOS,INCL.FARINHAS,P/ALIM.HUMANA"
0306.21.0000,"LAGOSTAS (PALINURUS/PANULIRUS/JASUS SPP),NAO CONGELADAS"
0306.22.0000,"LAVAGANTES (""HOMARDS"")(HOMARUS SPP),NAO CONGELADOS"
0306.23.0000,CAMAROES NAO CONGELADOS
0306.24.0000,CARANGUEJOS NAO CONGELADOS
0306.29.0101,"FARINHAS DE CRUSTACEOS,P/ALIMENTACAO HUMANA"
0306.29.0102,"POS E ""PELLETS"" DE CRUSTACEOS,P/ALIMENTACAO HUMANA"
0306.29.9900,OUTS.CRUSTACEOS NAO CONGELADOS
0307.10.0000,OSTRAS
0307.21.0000,"VIEIRAS/OUTS.MARISCOS VIVOS,FRESCOS/REFRIGERADOS"
0307.29.0000,"VIEIRAS/OUTS.MARISCOS,CONGELADOS/SECOS/SALGADOS/ETC."
0307.31.0000,"MEXILHOES VIVOS,FRESCOS/REFRIGERADOS"
0307.39.0000,MEXILHOES CONGELADOS/SECOS/SALGADOS/EM SALMOURA
0307.41.0000,"SIBAS E SEPIOLAS VIVAS,FRESCAS/REFRIGERADAS"
0307.49.0100,"CALAMAR OU LULA,CONGELADOS"
0307.49.9900,"OUTS.SIBAS,SEPIOLAS E LULAS,CONGELADAS"
0307.51.0000,"POLVOS (OCTOPUS SPP) VIVOS,FRESCOS OU REFRIGERADOS"
0307.59.0100,POLVOS (OCTOPUS SPP) CONGELADOS
0307.59.9900,POLVOS (OCTOPUS SPP) SECOS/SALGADOS/EM SALMOURA
0307.60.0000,"CARACOIS,EXC.OS DO MAR"
0307.91.0000,OUTS.MOLUSCOS/ETC.VIVOS/FRESCOS/REFRIGERADOS
0307.99.0101,"MIUDOS COMESTIV.DE INVERTEBRADOS AQUATICOS,CONGELADOS"
0307.99.0102,"MIUDOS COMESTIV.DE INVERTEBRADOS AQUATICOS,SECOS/ETC."
0307.99.9900,"OUTS.MOLUSCOS/ETC.INCL.FARINHA,P/ALIMENTACAO HUMANA"
0401.10.0000,"LEITE/CREME DE LEITE,N/CONCENTRADO,N/ADOCICADO,GORD<=1%"
0401.20.0000,"LEITE/CREME DE LEITE,N/CONCENTRADO,N/ADOCIC.1%<GORD<=6%"
0401.30.0100,"LEITE N/CONCENTRADO,N/ADOCICADO,TEOR DE GORDURA>6%"
0401.30.0200,"CREME DE LEITE,N/CONCENTRADO,N/ADOCICADO,GORDURA>6%"
0402.10.0100,"LEITE EM PO DESNATADO,GORDURA<=1,5%,EXC.P/ALIM.INFANTIL"
0402.10.0200,"LEITE EM PO DESNATADO,GORDURA<=1,5%,P/USO INDUSTRIAL"
0402.10.9900,"OUTS.LEITES/CREMES DE LEITE,EM PO,CONCENTR.GORD<=1,5%"
0402.21.0101,"LEITE EM PO INTEGRAL,GORDURA>=26%,N/ADOCICADO"
0402.21.0102,"LEITE EM PO DESNATURADO,GORDURA< 26%,N/ADOCICADO"
