cest_code,cest_item,cest_name,cest_segment
01.055.00,55.0,"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes",Autopeças
01.056.00,56.0,Telefones móveis do tipo dos utilizados em veículos automóveis.,Autopeças
01.057.00,57.0,"Alto-falantes, amplificadores elétricos de audiofrequência e partes",Autopeças
01.058.00,58.0,Aparelhos elétricos de amplificação de som para veículos automotores,Autopeças
01.059.00,59.0,Aparelhos de reprodução de som,Autopeças
01.060.00,60.0,Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor),Autopeças
01.061.00,61.0,"Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis",Autopeças
01.062.00,62.0,"Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis",Autopeças
01.062.01,62.1,"Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores",Autopeças
01.063.00,63.0,Antenas,Autopeças
01.064.00,64.0,Circuitos impressos,Autopeças
01.065.00,65.0,Interruptores e seccionadores e comutadores,Autopeças
01.066.00,66.0,Fusíveis e corta-circuitos de fusíveis,Autopeças
01.067.00,67.0,Disjuntores,Autopeças
01.068.00,68.0,Relés,Autopeças
01.069.00,69.0,"Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00",Autopeças
01.070.00,70.0,"Faróis e projetores, em unidades seladas",Autopeças
01.071.00,71.0,"Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos",Autopeças
01.072.00,72.0,Cabos coaxiais e outros condutores elétricos coaxiais,Autopeças
01.073.00,73.0,Jogos de fios para velas de ignição e outros jogos de fios,Autopeças
01.074.00,74.0,"Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas",Autopeças
01.075.00,75.0,Partes e acessórios dos veículos automóveis das posições 8701 a 8705,Autopeças
01.076.00,76.0,Parte e acessórios de motocicletas (incluídos os ciclomotores),Autopeças
01.077.00,77.0,Engates para reboques e semirreboques,Autopeças
01.078.00,78.0,Medidores de nível; Medidores de vazão,Autopeças
01.079.00,79.0,Aparelhos para medida ou controle da pressão,Autopeças
01.080.00,80.0,"Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios",Autopeças
01.081.00,81.0,Amperímetros,Autopeças
01.082.00,82.0,"Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)",Autopeças
01.083.00,83.0,Controladores eletrônicos,Autopeças
01.084.00,84.0,Relógios para painéis de instrumentos e relógios semelhantes,Autopeças
01.085.00,85.0,Assentos e partes de assentos,Autopeças
01.086.00,86.0,Acendedores,Autopeças
01.087.00,87.0,"Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios",Autopeças
01.088.00,88.0,Juntas de vedação de cortiça natural e de amianto,Autopeças
01.089.00,89.0,"Papel-diagrama para tacógrafo, em disco",Autopeças
01.090.00,90.0,"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários",Autopeças
01.091.00,91.0,Cilindros pneumáticos,Autopeças
01.092.00,92.0,Bomba elétrica de lavador de para-brisa,Autopeças
01.093.00,93.0,Bomba de assistência de direção hidráulica,Autopeças
01.094.00,94.0,Motoventiladores,Autopeças
01.095.00,95.0,Filtros de pólen do ar-condicionado,Autopeças
01.096.00,96.0,“Máquina” de vidro elétrico de porta,Autopeças
01.097.00,97.0,Motor de limpador de para-brisa,Autopeças
01.098.00,98.0,Bobinas de reatância e de autoindução,Autopeças
01.099.00,99.0,Baterias de chumbo e de níquel-cádmio,Autopeças
01.100.00,100.0,Aparelhos de sinalização acústica (buzina),Autopeças
01.101.00,101.0,Instrumentos para regulação de grandezas não elétricas,Autopeças
01.102.00,102.0,Analisadores de gases ou de fumaça (sonda lambda),Autopeças
01.103.00,103.0,Perfilados de borracha vulcanizada não endurecida,Autopeças
01.104.00,104.0,Artefatos de pasta de fibra de uso automotivo,Autopeças
01.105.00,105.0,Tapetes/carpetes - nailón,Autopeças
01.106.00,106.0,Tapetes de matérias têxteis sintéticas,Autopeças
01.107.00,107.0,Forração interior capacete,Autopeças
01.108.00,108.0,Outros para-brisas,Autopeças
01.109.00,109.0,Moldura com espelho,Autopeças
01.110.00,110.0,Corrente de transmissão,Autopeças
01.111.00,111.0,Corrente transmissão,Autopeças
01.112.00,112.0,Outras correntes de transmissão,Autopeças
01.113.00,113.0,Condensador tubular metálico,Autopeças
01.114.00,114.0,Trocadores de calor,Autopeças
01.115.00,115.0,Partes de aparelhos mecânicos de pulverizar ou dispersar,Autopeças
01.116.00,116.0,Macacos manuais para veículos,Autopeças
01.117.00,117.0,"Caçambas, pás, ganchos e tenazes para máquinas rodoviárias",Autopeças
01.118.00,118.0,Geradores de corrente alternada de potência não superior a 75 kva,Autopeças
01.119.00,119.0,Aparelhos elétricos para alarme de uso automotivo,Autopeças
01.120.00,120.0,Bússolas,Autopeças
01.121.00,121.0,Indicadores de temperatura,Autopeças
01.122.00,122.0,Partes de indicadores de temperatura,Autopeças
01.123.00,123.0,Partes de aparelhos de medida ou controle,Autopeças
01.124.00,124.0,Termostatos,Autopeças
01.125.00,125.0,Instrumentos e aparelhos para regulação,Autopeças
01.126.00,126.0,Pressostatos,Autopeças
01.127.00,127.0,"Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00",Autopeças
01.128.00,128.0,"Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis",Autopeças
01.999.00,999.0,"Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo",Autopeças
02.001.00,1.0,"Aperitivos, amargos, bitter e similares","Bebidas alcoólicas, exceto cerveja e chope"
02.002.00,2.0,Batida e similares,"Bebidas alcoólicas, exceto cerveja e chope"
02.003.00,3.0,Bebida ice,"Bebidas alcoólicas, exceto cerveja e chope"
02.004.00,4.0,Cachaça e aguardentes,"Bebidas alcoólicas, exceto cerveja e chope"
02.005.00,5.0,Catuaba e similares,"Bebidas alcoólicas, exceto cerveja e chope"
02.006.00,6.0,"Conhaque, brandy e similares","Bebidas alcoólicas, exceto cerveja e chope"
02.007.00,7.0,Cooler,"Bebidas alcoólicas, exceto cerveja e chope"
02.008.00,8.0,Gim (gin) e genebra,"Bebidas alcoólicas, exceto cerveja e chope"
02.009.00,9.0,Jurubeba e similares,"Bebidas alcoólicas, exceto cerveja e chope"
02.010.00,10.0,Licores e similares,"Bebidas alcoólicas, exceto cerveja e chope"
02.011.00,11.0,Pisco,"Bebidas alcoólicas, exceto cerveja e chope"
02.012.00,12.0,Rum,"Bebidas alcoólicas, exceto cerveja e chope"
02.013.00,13.0,Saquê,"Bebidas alcoólicas, exceto cerveja e chope"
02.014.00,14.0,Steinhaeger,"Bebidas alcoólicas, exceto cerveja e chope"
02.015.00,15.0,Tequila,"Bebidas alcoólicas, exceto cerveja e chope"
02.016.00,16.0,Uísque,"Bebidas alcoólicas, exceto cerveja e chope"
02.017.00,17.0,Vermute e similares,"Bebidas alcoólicas, exceto cerveja e chope"
02.018.00,18.0,Vodka,"Bebidas alcoólicas, exceto cerveja e chope"
02.019.00,19.0,Derivados de vodka,"Bebidas alcoólicas, exceto cerveja e chope"
02.020.00,20.0,Arak,"Bebidas alcoólicas, exceto cerveja e chope"
02.021.00,21.0,Aguardente vínica / grappa,"Bebidas alcoólicas, exceto cerveja e chope"
02.022.00,22.0,Sidra e similares,"Bebidas alcoólicas, exceto cerveja e chope"
02.023.00,23.0,Sangrias e coquetéis,"Bebidas alcoólicas, exceto cerveja e chope"
02.024.00,24.0,"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas.","Bebidas alcoólicas, exceto cerveja e chope"
02.999.00,999.0,Outras bebidas alcoólicas não especificadas nos itens anteriores,"Bebidas alcoólicas, exceto cerveja e chope"
03.001.00,1.0,"Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.002.00,2.0,"Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no CEST 03.024.00 e 03.025.00","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.003.00,3.0,"Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.004.00,4.0,"Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.005.00,5.0,"Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.006.00,6.0,"Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no CEST 03.024.00 e 03.025.00","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.007.00,7.0,"Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.008.00,8.0,"Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.010.00,10.0,"Refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no CEST 03.011.01","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.011.00,11.0,"Demais refrigerantes, exceto os classificados no CEST 03.010.00 e 03.011.01","Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.011.01,11.1,Espumantes sem álcool,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.012.00,12.0,Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.013.00,13.0,Bebidas energéticas em embalagem com capacidade inferior a 600ml,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.014.00,14.0,Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.015.00,15.0,Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.016.00,16.0,Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.021.00,21.0,Cerveja,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.022.00,22.0,Cerveja sem álcool,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.023.00,23.0,Chope,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.024.00,24.0,Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
03.025.00,25.0,Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros,"Cervejas, chopes, refrigerantes, águas e outras bebidas"
04.001.00,1.0,"Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos",Cigarros e outros produtos derivados do fumo
04.002.00,2.0,"Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção",Cigarros e outros produtos derivados do fumo
05.001.00,1.0,Cimento,Cimentos
06.001.00,1.0,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível)",Combustíveis e lubrificantes
06.001.01,1.1,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível)",Combustíveis e lubrificantes
06.002.00,2.0,"Gasolina automotiva A, exceto Premium",Combustíveis e lubrificantes
06.002.01,2.1,"Gasolina automotiva C, exceto Premium",Combustíveis e lubrificantes
06.002.02,2.2,Gasolina automotiva A Premium,Combustíveis e lubrificantes
06.002.03,2.3,Gasolina automotiva C Premium,Combustíveis e lubrificantes
06.003.00,3.0,Gasolina de aviação,Combustíveis e lubrificantes
06.004.00,4.0,"Querosenes, exceto de aviação",Combustíveis e lubrificantes
06.005.00,5.0,Querosene de aviação,Combustíveis e lubrificantes
06.006.00,6.0,"Óleo diesel A, exceto S10 e Marítimo",Combustíveis e lubrificantes
06.006.01,6.1,"Óleo diesel B, exceto S10 (mistura obrigatória)",Combustíveis e lubrificantes
06.006.02,6.2,"Óleo diesel B, exceto S10 (misturas autorizativas)",Combustíveis e lubrificantes
06.006.03,6.3,"Óleo diesel B, exceto S10 (misturas experimentais)",Combustíveis e lubrificantes
06.006.04,6.4,Óleo diesel A S10,Combustíveis e lubrificantes
06.006.05,6.5,Óleo diesel B S10 (mistura obrigatória),Combustíveis e lubrificantes
06.006.06,6.6,Óleo diesel B S10 (misturas autorizativas),Combustíveis e lubrificantes
06.006.07,6.7,Óleo diesel B S10 (misturas experimentais),Combustíveis e lubrificantes
06.006.08,6.8,Óleo Diesel Marítimo,Combustíveis e lubrificantes
06.006.09,6.9,"Outros óleos combustíveis, exceto os classificados no CEST 06.006.10 e 06.006.11",Combustíveis e lubrificantes
06.006.10,6.10,Óleo combustível derivado de xisto,Combustíveis e lubrificantes
06.006.11,6.11,Óleo combustível pesado,Combustíveis e lubrificantes
06.007.00,7.0,Óleos lubrificantes,Combustíveis e lubrificantes
06.008.00,8.0,"Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os resíduos de óleos e exceto as graxas lubrificantes",Combustíveis e lubrificantes
06.008.01,8.1,Graxa lubrificante,Combustíveis e lubrificantes
06.009.00,9.0,Resíduos de óleos,Combustíveis e lubrificantes
06.010.00,10.0,"Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, Gás Natural e Gás de xisto.",Combustíveis e lubrificantes
06.011.00,11.0,Gás liquefeito de petróleo em botijão de 13 Kg (GLP),Combustíveis e lubrificantes
06.011.01,11.1,"Gás liquefeito de petróleo (GLP), exceto em botijão de 13 Kg",Combustíveis e lubrificantes
06.011.02,11.2,Gás liquefeito de petróleo em botijão de 13 Kg (GLGNn),Combustíveis e lubrificantes
06.011.03,11.3,"Gás liquefeito de petróleo (GLGNn), exceto em botijão de 13 Kg",Combustíveis e lubrificantes
06.011.04,11.4,Gás liquefeito de petróleo em botijão de 13 Kg (GLGNi),Combustíveis e lubrificantes
06.011.05,11.5,"Gás liquefeito de petróleo (GLGNi), exceto em botijão de 13 Kg",Combustíveis e lubrificantes
06.011.06,11.6,Gás liquefeito de petróleo em botijão de 13 kg (Misturas),Combustíveis e lubrificantes
06.011.07,11.7,"Gás liquefeito de petróleo (Misturas), exceto em botijão de 13 Kg",Combustíveis e lubrificantes
06.012.00,12.0,Gás Natural Liquefeito,Combustíveis e lubrificantes
06.013.00,13.0,Gás Natural Gasoso,Combustíveis e lubrificantes
06.014.00,14.0,Gás de xisto,Combustíveis e lubrificantes
06.015.00,15.0,Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos,Combustíveis e lubrificantes
06.016.00,16.0,"Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos",Combustíveis e lubrificantes
06.017.00,17.0,"Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos",Combustíveis e lubrificantes
06.018.00,18.0,"Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos",Combustíveis e lubrificantes
07.001.00,1.0,Energia elétrica,Energia elétrica
08.001.00,1.0,Ferramentas de borracha vulcanizada não endurecida,Ferramentas
08.002.00,2.0,"Ferramentas, armações e cabos de ferramentas, de madeira",Ferramentas
08.003.00,3.0,"Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias",Ferramentas
08.004.00,4.0,"Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura",Ferramentas
08.005.00,5.0,Folhas de serras de fita,Ferramentas
08.006.00,6.0,Lâminas de serras máquinas,Ferramentas
08.007.00,7.0,"Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos CEST 08.005.00 e 08.006.00",Ferramentas
08.008.00,8.0,"Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90",Ferramentas
08.009.00,9.0,"Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos",Ferramentas
08.010.00,10.0,"Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal",Ferramentas
08.011.00,11.0,"Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho",Ferramentas
08.012.00,12.0,Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar,Ferramentas
08.013.00,13.0,"Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy e as classificadas no CEST 08.012.00",Ferramentas
08.014.00,14.0,"Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos",Ferramentas
08.015.00,15.0,Plaquetas ou pastilhas intercambiáveis,Ferramentas
08.016.00,16.0,"Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais (“cermets”), exceto as classificadas no CEST 08.015.00",Ferramentas
08.017.00,17.0,"Facas de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâminas, exceto as de uso doméstico",Ferramentas
08.018.00,18.0,Tesouras e suas lâminas,Ferramentas
08.019.00,19.0,"Ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual, exceto o descrito no CEST 08.019.01",Ferramentas
08.019.01,19.1,"Moto-serras portáteis de corrente, com motor incorporado, não elétrico, de uso agrícola",Ferramentas
08.020.00,20.0,"Instrumentos e aparelhos de geodesia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geofísica, exceto bussolas; telêmetros",Ferramentas
08.021.00,21.0,"Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios",Ferramentas
08.022.00,22.0,"Termômetros, suas partes e acessórios",Ferramentas
08.023.00,23.0,"Pirômetros, suas partes e acessórios",Ferramentas
09.001.00,1.0,Lâmpadas elétricas,"Lâmpadas, reatores e ""starter"""
09.002.00,2.0,Lâmpadas eletrônicas,"Lâmpadas, reatores e ""starter"""
09.003.00,3.0,Reatores para lâmpadas ou tubos de descargas,"Lâmpadas, reatores e ""starter"""
09.004.00,4.0,“Starter”,"Lâmpadas, reatores e ""starter"""
09.005.00,5.0,Lâmpadas de LED (Diodos Emissores de Luz),"Lâmpadas, reatores e ""starter"""
10.001.00,1.0,Cal,Materiais de construção e congêneres
10.002.00,2.0,Argamassas,Materiais de construção e congêneres
10.003.00,3.0,Outras argamassas,Materiais de construção e congêneres
10.004.00,4.0,"Silicones em formas primárias, para uso na construção",Materiais de construção e congêneres
10.005.00,5.0,"Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção",Materiais de construção e congêneres
10.006.00,6.0,"Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção",Materiais de construção e congêneres
10.007.00,7.0,Revestimento de pavimento de PVC e outros plásticos,Materiais de construção e congêneres
10.008.00,8.0,"Chapas, folhas, tiras, fitas, películas e outras formas planas, autoadesivas, de plásticos, mesmo em rolos, para uso na construção",Materiais de construção e congêneres
10.009.00,9.0,"Veda rosca, lona plástica para uso na construção, fitas isolantes e afins",Materiais de construção e congêneres
10.010.00,10.0,"Telha de plástico, mesmo reforçada com fibra de vidro",Materiais de construção e congêneres
10.011.00,11.0,"Cumeeira de plástico, mesmo reforçada com fibra de vidro",Materiais de construção e congêneres
10.012.00,12.0,"Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos no CEST 10.010.00 e 10.011.00",Materiais de construção e congêneres
